Demanda,Etapa,Participacion
calefaccion_biomasa_RM,1,0.0
calefaccion_electricidad_RM,1,0.0
coccion_electricidad_RM,1,0.08333333333333333
coccion_gas_licuado_RM,1,0.08333333333333333
refrigeracion_RM,1,0.08333333333333333
iluminacion_RM,1,0.08333333333333333
otros_electricos_RM,1,0.08333333333333333
enfriamiento_RM,1,0.08333333333333333
calefaccion_biomasa_RM,2,0.0
calefaccion_electricidad_RM,2,0.0
coccion_electricidad_RM,2,0.08333333333333333
coccion_gas_licuado_RM,2,0.08333333333333333
refrigeracion_RM,2,0.08333333333333333
iluminacion_RM,2,0.08333333333333333
otros_electricos_RM,2,0.08333333333333333
enfriamiento_RM,2,0.08333333333333333
calefaccion_biomasa_RM,3,0.0
calefaccion_electricidad_RM,3,0.0
coccion_electricidad_RM,3,0.08333333333333333
coccion_gas_licuado_RM,3,0.08333333333333333
refrigeracion_RM,3,0.08333333333333333
iluminacion_RM,3,0.08333333333333333
otros_electricos_RM,3,0.08333333333333333
enfriamiento_RM,3,0.08333333333333333
calefaccion_biomasa_RM,4,0.05
calefaccion_electricidad_RM,4,0.05
coccion_electricidad_RM,4,0.08333333333333333
coccion_gas_licuado_RM,4,0.08333333333333333
refrigeracion_RM,4,0.08333333333333333
iluminacion_RM,4,0.08333333333333333
otros_electricos_RM,4,0.08333333333333333
enfriamiento_RM,4,0.08333333333333333
calefaccion_biomasa_RM,5,0.15
calefaccion_electricidad_RM,5,0.15
coccion_electricidad_RM,5,0.08333333333333333
coccion_gas_licuado_RM,5,0.08333333333333333
refrigeracion_RM,5,0.08333333333333333
iluminacion_RM,5,0.08333333333333333
otros_electricos_RM,5,0.08333333333333333
enfriamiento_RM,5,0.08333333333333333
calefaccion_biomasa_RM,6,0.25
calefaccion_electricidad_RM,6,0.25
coccion_electricidad_RM,6,0.08333333333333333
coccion_gas_licuado_RM,6,0.08333333333333333
refrigeracion_RM,6,0.08333333333333333
iluminacion_RM,6,0.08333333333333333
otros_electricos_RM,6,0.08333333333333333
enfriamiento_RM,6,0.08333333333333333
calefaccion_biomasa_RM,7,0.25
calefaccion_electricidad_RM,7,0.25
coccion_electricidad_RM,7,0.08333333333333333
coccion_gas_licuado_RM,7,0.08333333333333333
refrigeracion_RM,7,0.08333333333333333
iluminacion_RM,7,0.08333333333333333
otros_electricos_RM,7,0.08333333333333333
enfriamiento_RM,7,0.08333333333333333
calefaccion_biomasa_RM,8,0.15
calefaccion_electricidad_RM,8,0.15
coccion_electricidad_RM,8,0.08333333333333333
coccion_gas_licuado_RM,8,0.08333333333333333
refrigeracion_RM,8,0.08333333333333333
iluminacion_RM,8,0.08333333333333333
otros_electricos_RM,8,0.08333333333333333
enfriamiento_RM,8,0.08333333333333333
calefaccion_biomasa_RM,9,0.1
calefaccion_electricidad_RM,9,0.1
coccion_electricidad_RM,9,0.08333333333333333
coccion_gas_licuado_RM,9,0.08333333333333333
refrigeracion_RM,9,0.08333333333333333
iluminacion_RM,9,0.08333333333333333
otros_electricos_RM,9,0.08333333333333333
enfriamiento_RM,9,0.08333333333333333
calefaccion_biomasa_RM,10,0.05
calefaccion_electricidad_RM,10,0.05
coccion_electricidad_RM,10,0.08333333333333333
coccion_gas_licuado_RM,10,0.08333333333333333
refrigeracion_RM,10,0.08333333333333333
iluminacion_RM,10,0.08333333333333333
otros_electricos_RM,10,0.08333333333333333
enfriamiento_RM,10,0.08333333333333333
calefaccion_biomasa_RM,11,0.0
calefaccion_electricidad_RM,11,0.0
coccion_electricidad_RM,11,0.08333333333333333
coccion_gas_licuado_RM,11,0.08333333333333333
refrigeracion_RM,11,0.08333333333333333
iluminacion_RM,11,0.08333333333333333
otros_electricos_RM,11,0.08333333333333333
enfriamiento_RM,11,0.08333333333333333
calefaccion_biomasa_RM,12,0.0
calefaccion_electricidad_RM,12,0.0
coccion_electricidad_RM,12,0.08333333333333333
coccion_gas_licuado_RM,12,0.08333333333333333
refrigeracion_RM,12,0.08333333333333333
iluminacion_RM,12,0.08333333333333333
otros_electricos_RM,12,0.08333333333333333
enfriamiento_RM,12,0.08333333333333333
calefaccion_biomasa_XV,1,0.0
calefaccion_electricidad_XV,1,0.0
coccion_electricidad_XV,1,0.08333333333333333
coccion_gas_licuado_XV,1,0.08333333333333333
refrigeracion_XV,1,0.08333333333333333
iluminacion_XV,1,0.08333333333333333
otros_electricos_XV,1,0.08333333333333333
enfriamiento_XV,1,0.08333333333333333
calefaccion_biomasa_XV,2,0.0
calefaccion_electricidad_XV,2,0.0
coccion_electricidad_XV,2,0.08333333333333333
coccion_gas_licuado_XV,2,0.08333333333333333
refrigeracion_XV,2,0.08333333333333333
iluminacion_XV,2,0.08333333333333333
otros_electricos_XV,2,0.08333333333333333
enfriamiento_XV,2,0.08333333333333333
calefaccion_biomasa_XV,3,0.0
calefaccion_electricidad_XV,3,0.0
coccion_electricidad_XV,3,0.08333333333333333
coccion_gas_licuado_XV,3,0.08333333333333333
refrigeracion_XV,3,0.08333333333333333
iluminacion_XV,3,0.08333333333333333
otros_electricos_XV,3,0.08333333333333333
enfriamiento_XV,3,0.08333333333333333
calefaccion_biomasa_XV,4,0.05
calefaccion_electricidad_XV,4,0.05
coccion_electricidad_XV,4,0.08333333333333333
coccion_gas_licuado_XV,4,0.08333333333333333
refrigeracion_XV,4,0.08333333333333333
iluminacion_XV,4,0.08333333333333333
otros_electricos_XV,4,0.08333333333333333
enfriamiento_XV,4,0.08333333333333333
calefaccion_biomasa_XV,5,0.15
calefaccion_electricidad_XV,5,0.15
coccion_electricidad_XV,5,0.08333333333333333
coccion_gas_licuado_XV,5,0.08333333333333333
refrigeracion_XV,5,0.08333333333333333
iluminacion_XV,5,0.08333333333333333
otros_electricos_XV,5,0.08333333333333333
enfriamiento_XV,5,0.08333333333333333
calefaccion_biomasa_XV,6,0.25
calefaccion_electricidad_XV,6,0.25
coccion_electricidad_XV,6,0.08333333333333333
coccion_gas_licuado_XV,6,0.08333333333333333
refrigeracion_XV,6,0.08333333333333333
iluminacion_XV,6,0.08333333333333333
otros_electricos_XV,6,0.08333333333333333
enfriamiento_XV,6,0.08333333333333333
calefaccion_biomasa_XV,7,0.25
calefaccion_electricidad_XV,7,0.25
coccion_electricidad_XV,7,0.08333333333333333
coccion_gas_licuado_XV,7,0.08333333333333333
refrigeracion_XV,7,0.08333333333333333
iluminacion_XV,7,0.08333333333333333
otros_electricos_XV,7,0.08333333333333333
enfriamiento_XV,7,0.08333333333333333
calefaccion_biomasa_XV,8,0.15
calefaccion_electricidad_XV,8,0.15
coccion_electricidad_XV,8,0.08333333333333333
coccion_gas_licuado_XV,8,0.08333333333333333
refrigeracion_XV,8,0.08333333333333333
iluminacion_XV,8,0.08333333333333333
otros_electricos_XV,8,0.08333333333333333
enfriamiento_XV,8,0.08333333333333333
calefaccion_biomasa_XV,9,0.1
calefaccion_electricidad_XV,9,0.1
coccion_electricidad_XV,9,0.08333333333333333
coccion_gas_licuado_XV,9,0.08333333333333333
refrigeracion_XV,9,0.08333333333333333
iluminacion_XV,9,0.08333333333333333
otros_electricos_XV,9,0.08333333333333333
enfriamiento_XV,9,0.08333333333333333
calefaccion_biomasa_XV,10,0.05
calefaccion_electricidad_XV,10,0.05
coccion_electricidad_XV,10,0.08333333333333333
coccion_gas_licuado_XV,10,0.08333333333333333
refrigeracion_XV,10,0.08333333333333333
iluminacion_XV,10,0.08333333333333333
otros_electricos_XV,10,0.08333333333333333
enfriamiento_XV,10,0.08333333333333333
calefaccion_biomasa_XV,11,0.0
calefaccion_electricidad_XV,11,0.0
coccion_electricidad_XV,11,0.08333333333333333
coccion_gas_licuado_XV,11,0.08333333333333333
refrigeracion_XV,11,0.08333333333333333
iluminacion_XV,11,0.08333333333333333
otros_electricos_XV,11,0.08333333333333333
enfriamiento_XV,11,0.08333333333333333
calefaccion_biomasa_XV,12,0.0
calefaccion_electricidad_XV,12,0.0
coccion_electricidad_XV,12,0.08333333333333333
coccion_gas_licuado_XV,12,0.08333333333333333
refrigeracion_XV,12,0.08333333333333333
iluminacion_XV,12,0.08333333333333333
otros_electricos_XV,12,0.08333333333333333
enfriamiento_XV,12,0.08333333333333333
calefaccion_biomasa_I,1,0.0
calefaccion_electricidad_I,1,0.0
coccion_electricidad_I,1,0.08333333333333333
coccion_gas_licuado_I,1,0.08333333333333333
refrigeracion_I,1,0.08333333333333333
iluminacion_I,1,0.08333333333333333
otros_electricos_I,1,0.08333333333333333
enfriamiento_I,1,0.08333333333333333
calefaccion_biomasa_I,2,0.0
calefaccion_electricidad_I,2,0.0
coccion_electricidad_I,2,0.08333333333333333
coccion_gas_licuado_I,2,0.08333333333333333
refrigeracion_I,2,0.08333333333333333
iluminacion_I,2,0.08333333333333333
otros_electricos_I,2,0.08333333333333333
enfriamiento_I,2,0.08333333333333333
calefaccion_biomasa_I,3,0.0
calefaccion_electricidad_I,3,0.0
coccion_electricidad_I,3,0.08333333333333333
coccion_gas_licuado_I,3,0.08333333333333333
refrigeracion_I,3,0.08333333333333333
iluminacion_I,3,0.08333333333333333
otros_electricos_I,3,0.08333333333333333
enfriamiento_I,3,0.08333333333333333
calefaccion_biomasa_I,4,0.05
calefaccion_electricidad_I,4,0.05
coccion_electricidad_I,4,0.08333333333333333
coccion_gas_licuado_I,4,0.08333333333333333
refrigeracion_I,4,0.08333333333333333
iluminacion_I,4,0.08333333333333333
otros_electricos_I,4,0.08333333333333333
enfriamiento_I,4,0.08333333333333333
calefaccion_biomasa_I,5,0.15
calefaccion_electricidad_I,5,0.15
coccion_electricidad_I,5,0.08333333333333333
coccion_gas_licuado_I,5,0.08333333333333333
refrigeracion_I,5,0.08333333333333333
iluminacion_I,5,0.08333333333333333
otros_electricos_I,5,0.08333333333333333
enfriamiento_I,5,0.08333333333333333
calefaccion_biomasa_I,6,0.25
calefaccion_electricidad_I,6,0.25
coccion_electricidad_I,6,0.08333333333333333
coccion_gas_licuado_I,6,0.08333333333333333
refrigeracion_I,6,0.08333333333333333
iluminacion_I,6,0.08333333333333333
otros_electricos_I,6,0.08333333333333333
enfriamiento_I,6,0.08333333333333333
calefaccion_biomasa_I,7,0.25
calefaccion_electricidad_I,7,0.25
coccion_electricidad_I,7,0.08333333333333333
coccion_gas_licuado_I,7,0.08333333333333333
refrigeracion_I,7,0.08333333333333333
iluminacion_I,7,0.08333333333333333
otros_electricos_I,7,0.08333333333333333
enfriamiento_I,7,0.08333333333333333
calefaccion_biomasa_I,8,0.15
calefaccion_electricidad_I,8,0.15
coccion_electricidad_I,8,0.08333333333333333
coccion_gas_licuado_I,8,0.08333333333333333
refrigeracion_I,8,0.08333333333333333
iluminacion_I,8,0.08333333333333333
otros_electricos_I,8,0.08333333333333333
enfriamiento_I,8,0.08333333333333333
calefaccion_biomasa_I,9,0.1
calefaccion_electricidad_I,9,0.1
coccion_electricidad_I,9,0.08333333333333333
coccion_gas_licuado_I,9,0.08333333333333333
refrigeracion_I,9,0.08333333333333333
iluminacion_I,9,0.08333333333333333
otros_electricos_I,9,0.08333333333333333
enfriamiento_I,9,0.08333333333333333
calefaccion_biomasa_I,10,0.05
calefaccion_electricidad_I,10,0.05
coccion_electricidad_I,10,0.08333333333333333
coccion_gas_licuado_I,10,0.08333333333333333
refrigeracion_I,10,0.08333333333333333
iluminacion_I,10,0.08333333333333333
otros_electricos_I,10,0.08333333333333333
enfriamiento_I,10,0.08333333333333333
calefaccion_biomasa_I,11,0.0
calefaccion_electricidad_I,11,0.0
coccion_electricidad_I,11,0.08333333333333333
coccion_gas_licuado_I,11,0.08333333333333333
refrigeracion_I,11,0.08333333333333333
iluminacion_I,11,0.08333333333333333
otros_electricos_I,11,0.08333333333333333
enfriamiento_I,11,0.08333333333333333
calefaccion_biomasa_I,12,0.0
calefaccion_electricidad_I,12,0.0
coccion_electricidad_I,12,0.08333333333333333
coccion_gas_licuado_I,12,0.08333333333333333
refrigeracion_I,12,0.08333333333333333
iluminacion_I,12,0.08333333333333333
otros_electricos_I,12,0.08333333333333333
enfriamiento_I,12,0.08333333333333333
calefaccion_biomasa_II,1,0.0
calefaccion_electricidad_II,1,0.0
coccion_electricidad_II,1,0.08333333333333333
coccion_gas_licuado_II,1,0.08333333333333333
refrigeracion_II,1,0.08333333333333333
iluminacion_II,1,0.08333333333333333
otros_electricos_II,1,0.08333333333333333
enfriamiento_II,1,0.08333333333333333
calefaccion_biomasa_II,2,0.0
calefaccion_electricidad_II,2,0.0
coccion_electricidad_II,2,0.08333333333333333
coccion_gas_licuado_II,2,0.08333333333333333
refrigeracion_II,2,0.08333333333333333
iluminacion_II,2,0.08333333333333333
otros_electricos_II,2,0.08333333333333333
enfriamiento_II,2,0.08333333333333333
calefaccion_biomasa_II,3,0.0
calefaccion_electricidad_II,3,0.0
coccion_electricidad_II,3,0.08333333333333333
coccion_gas_licuado_II,3,0.08333333333333333
refrigeracion_II,3,0.08333333333333333
iluminacion_II,3,0.08333333333333333
otros_electricos_II,3,0.08333333333333333
enfriamiento_II,3,0.08333333333333333
calefaccion_biomasa_II,4,0.05
calefaccion_electricidad_II,4,0.05
coccion_electricidad_II,4,0.08333333333333333
coccion_gas_licuado_II,4,0.08333333333333333
refrigeracion_II,4,0.08333333333333333
iluminacion_II,4,0.08333333333333333
otros_electricos_II,4,0.08333333333333333
enfriamiento_II,4,0.08333333333333333
calefaccion_biomasa_II,5,0.15
calefaccion_electricidad_II,5,0.15
coccion_electricidad_II,5,0.08333333333333333
coccion_gas_licuado_II,5,0.08333333333333333
refrigeracion_II,5,0.08333333333333333
iluminacion_II,5,0.08333333333333333
otros_electricos_II,5,0.08333333333333333
enfriamiento_II,5,0.08333333333333333
calefaccion_biomasa_II,6,0.25
calefaccion_electricidad_II,6,0.25
coccion_electricidad_II,6,0.08333333333333333
coccion_gas_licuado_II,6,0.08333333333333333
refrigeracion_II,6,0.08333333333333333
iluminacion_II,6,0.08333333333333333
otros_electricos_II,6,0.08333333333333333
enfriamiento_II,6,0.08333333333333333
calefaccion_biomasa_II,7,0.25
calefaccion_electricidad_II,7,0.25
coccion_electricidad_II,7,0.08333333333333333
coccion_gas_licuado_II,7,0.08333333333333333
refrigeracion_II,7,0.08333333333333333
iluminacion_II,7,0.08333333333333333
otros_electricos_II,7,0.08333333333333333
enfriamiento_II,7,0.08333333333333333
calefaccion_biomasa_II,8,0.15
calefaccion_electricidad_II,8,0.15
coccion_electricidad_II,8,0.08333333333333333
coccion_gas_licuado_II,8,0.08333333333333333
refrigeracion_II,8,0.08333333333333333
iluminacion_II,8,0.08333333333333333
otros_electricos_II,8,0.08333333333333333
enfriamiento_II,8,0.08333333333333333
calefaccion_biomasa_II,9,0.1
calefaccion_electricidad_II,9,0.1
coccion_electricidad_II,9,0.08333333333333333
coccion_gas_licuado_II,9,0.08333333333333333
refrigeracion_II,9,0.08333333333333333
iluminacion_II,9,0.08333333333333333
otros_electricos_II,9,0.08333333333333333
enfriamiento_II,9,0.08333333333333333
calefaccion_biomasa_II,10,0.05
calefaccion_electricidad_II,10,0.05
coccion_electricidad_II,10,0.08333333333333333
coccion_gas_licuado_II,10,0.08333333333333333
refrigeracion_II,10,0.08333333333333333
iluminacion_II,10,0.08333333333333333
otros_electricos_II,10,0.08333333333333333
enfriamiento_II,10,0.08333333333333333
calefaccion_biomasa_II,11,0.0
calefaccion_electricidad_II,11,0.0
coccion_electricidad_II,11,0.08333333333333333
coccion_gas_licuado_II,11,0.08333333333333333
refrigeracion_II,11,0.08333333333333333
iluminacion_II,11,0.08333333333333333
otros_electricos_II,11,0.08333333333333333
enfriamiento_II,11,0.08333333333333333
calefaccion_biomasa_II,12,0.0
calefaccion_electricidad_II,12,0.0
coccion_electricidad_II,12,0.08333333333333333
coccion_gas_licuado_II,12,0.08333333333333333
refrigeracion_II,12,0.08333333333333333
iluminacion_II,12,0.08333333333333333
otros_electricos_II,12,0.08333333333333333
enfriamiento_II,12,0.08333333333333333
calefaccion_biomasa_III,1,0.0
