parameter,sector,x_xl_designation,display
other_mining_efficiency_heat_electric,industry_and_mining,x,Other Mining Efficiency Heat Electric
other_mining_efficiency_heat_fuel_oil,industry_and_mining,x,Other Mining Efficiency Heat Fuel Oil
other_mining_efficiency_heat_hydrogen,industry_and_mining,x,Other Mining Efficiency Heat Hydrogen
other_mining_efficiency_heat_natural_gas,industry_and_mining,x,Other Mining Efficiency Heat Natural Gas
other_mining_efficiency_heat_pliqgas,industry_and_mining,x,Other Mining Efficiency Heat Pliqgas
other_mining_efficiency_heat_solar,industry_and_mining,x,Other Mining Efficiency Heat Solar
other_mining_efficiency_motor_diesel,industry_and_mining,x,Other Mining Efficiency Motor Diesel
other_mining_efficiency_motor_electric,industry_and_mining,x,Other Mining Efficiency Motor Electric
other_mining_efficiency_motor_hydrogen,industry_and_mining,x,Other Mining Efficiency Motor Hydrogen
other_mining_efficiency_motor_pliqgas,industry_and_mining,x,Other Mining Efficiency Motor Pliqgas
other_mining_efficiency_other_electric,industry_and_mining,x,Other Mining Efficiency Other Electric
other_mining_emission_fact_coal,industry_and_mining,x,Other Mining Emission Fact Coal
other_mining_emission_fact_diesel,industry_and_mining,x,Other Mining Emission Fact Diesel
other_mining_emission_fact_fueloil,industry_and_mining,x,Other Mining Emission Fact Fueloil
other_mining_emission_fact_natural_gas,industry_and_mining,x,Other Mining Emission Fact Natural Gas
other_mining_emission_fact_pliqgas,industry_and_mining,x,Other Mining Emission Fact Pliqgas
other_mining_frac_biomass,industry_and_mining,xl,Other Mining Frac Biomass
other_mining_frac_coal,industry_and_mining,xl,Other Mining Frac Coal
other_mining_frac_diesel,industry_and_mining,xl,Other Mining Frac Diesel
other_mining_frac_electric,industry_and_mining,xl,Other Mining Frac Electric
other_mining_frac_hydrogen,industry_and_mining,xl,Other Mining Frac Hydrogen
other_mining_frac_natural_gas,industry_and_mining,xl,Other Mining Frac Natural Gas
other_mining_frac_solar,industry_and_mining,xl,Other Mining Frac Solar
other_mining_frac_thermal_solar,industry_and_mining,xl,Other Mining Frac Thermal Solar
other_mining_heat_biomass,industry_and_mining,xl,Other Mining Heat Biomass
other_mining_heat_coal,industry_and_mining,xl,Other Mining Heat Coal
other_mining_heat_diesel,industry_and_mining,xl,Other Mining Heat Diesel
other_mining_heat_electric,industry_and_mining,xl,Other Mining Heat Electric
other_mining_heat_fuel_oil,industry_and_mining,xl,Other Mining Heat Fuel Oil
other_mining_heat_hydrogen,industry_and_mining,xl,Other Mining Heat Hydrogen
other_mining_heat_natural_gas,industry_and_mining,xl,Other Mining Heat Natural Gas
other_mining_heat_pliqgas,industry_and_mining,xl,Other Mining Heat Pliqgas
other_mining_heat_solar,industry_and_mining,xl,Other Mining Heat Solar
other_mining_intensity,industry_and_mining,x,Other Mining Intensity
other_mining_motor_diesel,industry_and_mining,xl,Other Mining Motor Diesel
other_mining_motor_electric,industry_and_mining,xl,Other Mining Motor Electric
other_mining_motor_hydrogen,industry_and_mining,xl,Other Mining Motor Hydrogen
other_mining_motor_pliqgas,industry_and_mining,xl,Other Mining Motor Pliqgas
other_mining_other_electric,industry_and_mining,x,Other Mining Other Electric
other_mining_plant_factor_sst,industry_and_mining,x,Other Mining Plant Factor Sst
other_mining_production,industry_and_mining,x,Other Mining Production
other_mining_share_heat,industry_and_mining,x,Other Mining Share Heat
other_mining_share_motor,industry_and_mining,x,Other Mining Share Motor
other_mining_share_other,industry_and_mining,x,Other Mining Share Other
pulp_activity_heat,industry_and_mining,x,Pulp Activity Heat
pulp_activity_motor,industry_and_mining,x,Pulp Activity Motor
pulp_activity_other,industry_and_mining,x,Pulp Activity Other
pulp_efficiency_heat_biomass,industry_and_mining,x,Pulp Efficiency Heat Biomass
pulp_efficiency_heat_coal,industry_and_mining,x,Pulp Efficiency Heat Coal
pulp_efficiency_heat_diesel,industry_and_mining,x,Pulp Efficiency Heat Diesel
pulp_efficiency_heat_electric,industry_and_mining,x,Pulp Efficiency Heat Electric
pulp_efficiency_heat_fuel_oil,industry_and_mining,x,Pulp Efficiency Heat Fuel Oil
pulp_efficiency_heat_hydrogen,industry_and_mining,x,Pulp Efficiency Heat Hydrogen
pulp_efficiency_heat_natural_gas,industry_and_mining,x,Pulp Efficiency Heat Natural Gas
pulp_efficiency_heat_pliqgas,industry_and_mining,x,Pulp Efficiency Heat Pliqgas
pulp_efficiency_heat_solar,industry_and_mining,x,Pulp Efficiency Heat Solar
pulp_efficiency_motor_diesel,industry_and_mining,x,Pulp Efficiency Motor Diesel
pulp_efficiency_motor_electric,industry_and_mining,x,Pulp Efficiency Motor Electric
pulp_efficiency_motor_hydrogen,industry_and_mining,x,Pulp Efficiency Motor Hydrogen
pulp_efficiency_motor_pliqgas,industry_and_mining,x,Pulp Efficiency Motor Pliqgas
pulp_efficiency_other_electric,industry_and_mining,x,Pulp Efficiency Other Electric
pulp_emission_fact_coal,industry_and_mining,x,Pulp Emission Fact Coal
pulp_emission_fact_diesel,industry_and_mining,x,Pulp Emission Fact Diesel
pulp_emission_fact_fueloil,industry_and_mining,x,Pulp Emission Fact Fueloil
pulp_emission_fact_natural_gas,industry_and_mining,x,Pulp Emission Fact Natural Gas
pulp_emission_fact_pliqgas,industry_and_mining,x,Pulp Emission Fact Pliqgas
pulp_frac_biomass,industry_and_mining,xl,Pulp Frac Biomass
pulp_frac_diesel,industry_and_mining,xl,Pulp Frac Diesel
pulp_frac_electric,industry_and_mining,xl,Pulp Frac Electric
pulp_frac_hydrogen,industry_and_mining,xl,Pulp Frac Hydrogen
pulp_frac_natural_gas,industry_and_mining,xl,Pulp Frac Natural Gas
pulp_frac_solar,industry_and_mining,xl,Pulp Frac Solar
pulp_frac_thermal_solar,industry_and_mining,xl,Pulp Frac Thermal Solar
pulp_heat_biomass,industry_and_mining,xl,Pulp Heat Biomass
pulp_heat_coal,industry_and_mining,xl,Pulp Heat Coal
pulp_heat_diesel,industry_and_mining,xl,Pulp Heat Diesel
pulp_heat_electric,industry_and_mining,xl,Pulp Heat Electric
pulp_heat_fuel_oil,industry_and_mining,xl,Pulp Heat Fuel Oil
pulp_heat_hydrogen,industry_and_mining,xl,Pulp Heat Hydrogen
pulp_heat_natural_gas,industry_and_mining,xl,Pulp Heat Natural Gas
pulp_heat_pliqgas,industry_and_mining,xl,Pulp Heat Pliqgas
pulp_heat_solar,industry_and_mining,xl,Pulp Heat Solar
pulp_intensity,industry_and_mining,x,Pulp Intensity
pulp_motor_diesel,industry_and_mining,xl,Pulp Motor Diesel
pulp_motor_electric,industry_and_mining,xl,Pulp Motor Electric
pulp_motor_hydrogen,industry_and_mining,xl,Pulp Motor Hydrogen
pulp_motor_pliqgas,industry_and_mining,xl,Pulp Motor Pliqgas
pulp_other_electric,industry_and_mining,x,Pulp Other Electric
pulp_plant_factor_sst,industry_and_mining,x,Pulp Plant Factor Sst
pulp_production,industry_and_mining,x,Pulp Production
pulp_share_heat,industry_and_mining,x,Pulp Share Heat
pulp_share_motor,industry_and_mining,x,Pulp Share Motor
pulp_share_other,industry_and_mining,x,Pulp Share Other
saltpeter_emission_fact_coal,industry_and_mining,x,Saltpeter Emission Fact Coal
saltpeter_emission_fact_diesel,industry_and_mining,x,Saltpeter Emission Fact Diesel
saltpeter_emission_fact_natural_gas,industry_and_mining,x,Saltpeter Emission Fact Natural Gas
saltpeter_frac_biomass,industry_and_mining,xl,Saltpeter Frac Biomass
saltpeter_frac_coal,industry_and_mining,xl,Saltpeter Frac Coal
saltpeter_frac_diesel,industry_and_mining,xl,Saltpeter Frac Diesel
saltpeter_frac_electric,industry_and_mining,xl,Saltpeter Frac Electric
saltpeter_frac_hydrogen,industry_and_mining,xl,Saltpeter Frac Hydrogen
saltpeter_frac_natural_gas,industry_and_mining,xl,Saltpeter Frac Natural Gas
saltpeter_frac_solar,industry_and_mining,xl,Saltpeter Frac Solar
saltpeter_frac_thermal_solar,industry_and_mining,xl,Saltpeter Frac Thermal Solar
saltpeter_intensity,industry_and_mining,x,Saltpeter Intensity
saltpeter_production,industry_and_mining,x,Saltpeter Production
steel_activity_heat,industry_and_mining,x,Steel Activity Heat
steel_activity_motor,industry_and_mining,x,Steel Activity Motor
steel_activity_other,industry_and_mining,x,Steel Activity Other
steel_efficiency_heat_biomass,industry_and_mining,x,Steel Efficiency Heat Biomass
steel_efficiency_heat_coal,industry_and_mining,x,Steel Efficiency Heat Coal
steel_efficiency_heat_coke,industry_and_mining,x,Steel Efficiency Heat Coke
steel_efficiency_heat_diesel,industry_and_mining,x,Steel Efficiency Heat Diesel
steel_efficiency_heat_electric,industry_and_mining,x,Steel Efficiency Heat Electric
steel_efficiency_heat_fuel_oil,industry_and_mining,x,Steel Efficiency Heat Fuel Oil
steel_efficiency_heat_hydrogen,industry_and_mining,x,Steel Efficiency Heat Hydrogen
steel_efficiency_heat_natural_gas,industry_and_mining,x,Steel Efficiency Heat Natural Gas
steel_efficiency_heat_pliqgas,industry_and_mining,x,Steel Efficiency Heat Pliqgas
steel_efficiency_heat_solar,industry_and_mining,x,Steel Efficiency Heat Solar
steel_efficiency_motor_diesel,industry_and_mining,x,Steel Efficiency Motor Diesel
steel_efficiency_motor_electric,industry_and_mining,x,Steel Efficiency Motor Electric
steel_efficiency_motor_hydrogen,industry_and_mining,x,Steel Efficiency Motor Hydrogen
steel_efficiency_motor_pliqgas,industry_and_mining,x,Steel Efficiency Motor Pliqgas
steel_efficiency_other_electric,industry_and_mining,x,Steel Efficiency Other Electric
steel_emission_fact_coal,industry_and_mining,x,Steel Emission Fact Coal
steel_emission_fact_coke,industry_and_mining,x,Steel Emission Fact Coke
steel_emission_fact_diesel,industry_and_mining,x,Steel Emission Fact Diesel
steel_emission_fact_fueloil,industry_and_mining,x,Steel Emission Fact Fueloil
steel_emission_fact_natural_gas,industry_and_mining,x,Steel Emission Fact Natural Gas
steel_emission_fact_pliqgas,industry_and_mining,x,Steel Emission Fact Pliqgas
steel_heat_biomass,industry_and_mining,xl,Steel Heat Biomass
steel_heat_coal,industry_and_mining,xl,Steel Heat Coal
steel_heat_coke,industry_and_mining,xl,Steel Heat Coke
steel_heat_diesel,industry_and_mining,xl,Steel Heat Diesel
steel_heat_electric,industry_and_mining,xl,Steel Heat Electric
steel_heat_fuel_oil,industry_and_mining,xl,Steel Heat Fuel Oil
steel_heat_hydrogen,industry_and_mining,xl,Steel Heat Hydrogen
steel_heat_natural_gas,industry_and_mining,xl,Steel Heat Natural Gas
steel_heat_pliqgas,industry_and_mining,xl,Steel Heat Pliqgas
steel_heat_solar,industry_and_mining,xl,Steel Heat Solar
steel_intensity,industry_and_mining,x,Steel Intensity
steel_intensity_reference,industry_and_mining,x,Steel Intensity Reference
steel_investment_efficiency_improvement,industry_and_mining,xl,Steel Investment Efficiency Improvement
steel_motor_diesel,industry_and_mining,xl,Steel Motor Diesel
steel_motor_electric,industry_and_mining,xl,Steel Motor Electric
steel_motor_hydrogen,industry_and_mining,xl,Steel Motor Hydrogen
steel_motor_pliqgas,industry_and_mining,xl,Steel Motor Pliqgas
steel_other_electric,industry_and_mining,x,Steel Other Electric
steel_plant_factor_sst,industry_and_mining,x,Steel Plant Factor Sst
steel_production,industry_and_mining,x,Steel Production
steel_share_heat,industry_and_mining,x,Steel Share Heat
steel_share_motor,industry_and_mining,x,Steel Share Motor
steel_share_other,industry_and_mining,x,Steel Share Other
sugar_emission_fact_coal,industry_and_mining,x,Sugar Emission Fact Coal
sugar_emission_fact_diesel,industry_and_mining,x,Sugar Emission Fact Diesel
sugar_emission_fact_natural_gas,industry_and_mining,x,Sugar Emission Fact Natural Gas
sugar_frac_biomass,industry_and_mining,xl,Sugar Frac Biomass
sugar_frac_coal,industry_and_mining,xl,Sugar Frac Coal
sugar_frac_diesel,industry_and_mining,xl,Sugar Frac Diesel
sugar_frac_electric,industry_and_mining,xl,Sugar Frac Electric
sugar_frac_hydrogen,industry_and_mining,xl,Sugar Frac Hydrogen
sugar_frac_natural_gas,industry_and_mining,xl,Sugar Frac Natural Gas
sugar_frac_solar,industry_and_mining,xl,Sugar Frac Solar
sugar_frac_thermal_solar,industry_and_mining,xl,Sugar Frac Thermal Solar
sugar_intensity,industry_and_mining,x,Sugar Intensity
sugar_production,industry_and_mining,x,Sugar Production
trajgroup_1-lhs,industry_and_mining,xl,% Towards Optimistic - Copper Heat Energy
trajgroup_2-lhs,industry_and_mining,xl,% Towards Optimistic - Open Pit Mine Energy
trajgroup_3-lhs,industry_and_mining,xl,% Towards Optimistic - Other Industries Heat Energy
trajmix_copper_production,industry_and_mining,x,Copper Production
trajmix_iron_production,industry_and_mining,x,Iron Production
trajmix_pulp_production,industry_and_mining,x,Pulp Production
public_emission_fact_kerosene,public,x,Public Emission Fact Kerosene
public_emission_fact_natural_gas,public,x,Public Emission Fact Natural Gas
public_emission_fact_pliqgas,public,x,Public Emission Fact Pliqgas
public_frac_biomass,public,xl,Public Frac Biomass
public_frac_diesel,public,xl,Public Frac Diesel
public_frac_electric,public,xl,Public Frac Electric
public_frac_kerosene,public,xl,Public Frac Kerosene
public_frac_natural_gas,public,xl,Public Frac Natural Gas
public_frac_pliqgas,public,xl,Public Frac Pliqgas
public_frac_solar,public,xl,Public Frac Solar
public_intensity,public,x,Public Intensity
residential_activity_acs,residential,x,Residential Activity Acs
residential_activity_cooking,residential,x,Residential Activity Cooking
residential_activity_electric_appliance,residential,x,Residential Activity Electric Appliance
residential_activity_heating,residential,x,Residential Activity Heating
residential_apartment_acs_biomass,residential,xl,Residential Apartment Acs Biomass
residential_apartment_acs_hydrogen,residential,xl,Residential Apartment Acs Hydrogen
residential_apartment_acs_kerosene,residential,xl,Residential Apartment Acs Kerosene
residential_apartment_cooking_biomass,residential,xl,Residential Apartment Cooking Biomass
residential_apartment_cooking_electric,residential,xl,Residential Apartment Cooking Electric
residential_apartment_cooking_hydrogen,residential,xl,Residential Apartment Cooking Hydrogen
residential_apartment_cooking_kerosene,residential,xl,Residential Apartment Cooking Kerosene
residential_apartment_cooking_natural_gas,residential,xl,Residential Apartment Cooking Natural Gas
residential_apartment_cooking_pliqgas,residential,xl,Residential Apartment Cooking Pliqgas
residential_apartment_cooking_solar,residential,xl,Residential Apartment Cooking Solar
residential_apartment_heating_biomass,residential,xl,Residential Apartment Heating Biomass
residential_apartment_heating_electric,residential,xl,Residential Apartment Heating Electric
residential_apartment_heating_hydrogen,residential,xl,Residential Apartment Heating Hydrogen
residential_apartment_heating_kerosene,residential,xl,Residential Apartment Heating Kerosene
residential_apartment_heating_natural_gas,residential,xl,Residential Apartment Heating Natural Gas
residential_apartment_heating_pliqgas,residential,xl,Residential Apartment Heating Pliqgas
residential_apartment_heating_solar,residential,xl,Residential Apartment Heating Solar
residential_apartment_intensity_acs,residential,x,Residential Apartment Intensity Acs
residential_apartment_intensity_cooking,residential,x,Residential Apartment Intensity Cooking
residential_apartment_intensity_electric_appliance,residential,x,Residential Apartment Intensity Electric Appliance
residential_apartment_intensity_heating,residential,x,Residential Apartment Intensity Heating
residential_efficiency_acs_biomass,residential,x,Residential Efficiency Acs Biomass
residential_efficiency_acs_electric,residential,x,Residential Efficiency Acs Electric
residential_efficiency_acs_hydrogen,residential,x,Residential Efficiency Acs Hydrogen
residential_efficiency_acs_kerosene,residential,x,Residential Efficiency Acs Kerosene
residential_efficiency_acs_natural_gas,residential,x,Residential Efficiency Acs Natural Gas
residential_efficiency_acs_pliqgas,residential,x,Residential Efficiency Acs Pliqgas
residential_efficiency_acs_solar,residential,x,Residential Efficiency Acs Solar
residential_efficiency_cooking_biomass,residential,x,Residential Efficiency Cooking Biomass
residential_efficiency_cooking_electric,residential,x,Residential Efficiency Cooking Electric
residential_efficiency_cooking_hydrogen,residential,x,Residential Efficiency Cooking Hydrogen
residential_efficiency_cooking_kerosene,residential,x,Residential Efficiency Cooking Kerosene
residential_efficiency_cooking_natural_gas,residential,x,Residential Efficiency Cooking Natural Gas
residential_efficiency_cooking_pliqgas,residential,x,Residential Efficiency Cooking Pliqgas
residential_efficiency_cooking_solar,residential,x,Residential Efficiency Cooking Solar
residential_efficiency_electric_appliance,residential,x,Residential Efficiency Electric Appliance
residential_efficiency_heating_biomass,residential,x,Residential Efficiency Heating Biomass
residential_efficiency_heating_electric,residential,x,Residential Efficiency Heating Electric
residential_efficiency_heating_hydrogen,residential,x,Residential Efficiency Heating Hydrogen
residential_efficiency_heating_kerosene,residential,x,Residential Efficiency Heating Kerosene
residential_efficiency_heating_natural_gas,residential,x,Residential Efficiency Heating Natural Gas
residential_efficiency_heating_pliqgas,residential,x,Residential Efficiency Heating Pliqgas
residential_efficiency_heating_solar,residential,x,Residential Efficiency Heating Solar
residential_emission_fact_kerosene,residential,x,Residential Emission Fact Kerosene
residential_emission_fact_natural_gas,residential,x,Residential Emission Fact Natural Gas
residential_emission_fact_pliqgas,residential,x,Residential Emission Fact Pliqgas
residential_frac_biomass,residential,xl,Residential Frac Biomass
residential_frac_electric,residential,xl,Residential Frac Electric
residential_frac_hydrogen,residential,xl,Residential Frac Hydrogen
residential_frac_kerosene,residential,xl,Residential Frac Kerosene
residential_frac_natural_gas,residential,xl,Residential Frac Natural Gas
residential_frac_pliqgas,residential,xl,Residential Frac Pliqgas
residential_frac_solar,residential,xl,Residential Frac Solar
residential_fuel_price_biomass,residential,x,Residential Fuel Price Biomass
residential_fuel_price_electric,residential,x,Residential Fuel Price Electric
residential_fuel_price_hydrogen,residential,x,Residential Fuel Price Hydrogen
residential_fuel_price_kerosene,residential,x,Residential Fuel Price Kerosene
residential_fuel_price_natural_gas,residential,x,Residential Fuel Price Natural Gas
residential_fuel_price_pliqgas,residential,x,Residential Fuel Price Pliqgas
residential_fuel_price_solar,residential,x,Residential Fuel Price Solar
residential_house_acs_biomass,residential,xl,Residential House Acs Biomass
residential_house_acs_hydrogen,residential,xl,Residential House Acs Hydrogen
residential_house_acs_kerosene,residential,xl,Residential House Acs Kerosene
residential_house_cooking_biomass,residential,xl,Residential House Cooking Biomass
residential_house_cooking_electric,residential,xl,Residential House Cooking Electric
residential_house_cooking_hydrogen,residential,xl,Residential House Cooking Hydrogen
residential_house_cooking_kerosene,residential,xl,Residential House Cooking Kerosene
residential_house_cooking_natural_gas,residential,xl,Residential House Cooking Natural Gas
residential_house_cooking_pliqgas,residential,xl,Residential House Cooking Pliqgas
residential_house_cooking_solar,residential,xl,Residential House Cooking Solar
residential_house_heating_biomass,residential,xl,Residential House Heating Biomass
residential_house_heating_electric,residential,xl,Residential House Heating Electric
residential_house_heating_hydrogen,residential,xl,Residential House Heating Hydrogen
residential_house_heating_kerosene,residential,xl,Residential House Heating Kerosene
residential_house_heating_natural_gas,residential,xl,Residential House Heating Natural Gas
residential_house_heating_pliqgas,residential,xl,Residential House Heating Pliqgas
residential_house_heating_solar,residential,xl,Residential House Heating Solar
residential_house_intensity_acs,residential,x,Residential House Intensity Acs
residential_house_intensity_cooking,residential,x,Residential House Intensity Cooking
residential_house_intensity_electric_appliance,residential,x,Residential House Intensity Electric Appliance
residential_house_intensity_heating,residential,x,Residential House Intensity Heating
residential_intensity,residential,x,Residential Intensity
residential_investment_cost_acs_biomass,residential,x,Residential Investment Cost Acs Biomass
residential_investment_cost_acs_electric,residential,x,Residential Investment Cost Acs Electric
residential_investment_cost_acs_hydrogen,residential,x,Residential Investment Cost Acs Hydrogen
residential_investment_cost_acs_kerosene,residential,x,Residential Investment Cost Acs Kerosene
residential_investment_cost_acs_natural_gas,residential,x,Residential Investment Cost Acs Natural Gas
residential_investment_cost_acs_pliqgas,residential,x,Residential Investment Cost Acs Pliqgas
residential_investment_cost_acs_solar,residential,x,Residential Investment Cost Acs Solar
residential_investment_cost_cooking_biomass,residential,x,Residential Investment Cost Cooking Biomass
residential_investment_cost_cooking_electric,residential,x,Residential Investment Cost Cooking Electric
residential_investment_cost_cooking_hydrogen,residential,x,Residential Investment Cost Cooking Hydrogen
residential_investment_cost_cooking_kerosene,residential,x,Residential Investment Cost Cooking Kerosene
residential_investment_cost_cooking_natural_gas,residential,x,Residential Investment Cost Cooking Natural Gas
residential_investment_cost_cooking_pliqgas,residential,x,Residential Investment Cost Cooking Pliqgas
residential_investment_cost_cooking_solar,residential,x,Residential Investment Cost Cooking Solar
residential_investment_cost_electric_appliance,residential,x,Residential Investment Cost Electric Appliance
residential_investment_cost_heating_biomass,residential,x,Residential Investment Cost Heating Biomass
residential_investment_cost_heating_electric,residential,x,Residential Investment Cost Heating Electric
residential_investment_cost_heating_hydrogen,residential,x,Residential Investment Cost Heating Hydrogen
residential_investment_cost_heating_kerosene,residential,x,Residential Investment Cost Heating Kerosene
residential_investment_cost_heating_natural_gas,residential,x,Residential Investment Cost Heating Natural Gas
residential_investment_cost_heating_pliqgas,residential,x,Residential Investment Cost Heating Pliqgas
residential_investment_cost_heating_solar,residential,x,Residential Investment Cost Heating Solar
residential_investment_cost_pv_solar,residential,x,Residential Investment Cost Pv Solar
residential_occ_rate,residential,x,Residential Occ Rate
residential_share_household_apartment,residential,x,Residential Share Household Apartment
residential_share_household_house,residential,x,Residential Share Household House
trajgroup_4-lhs,residential,xl,% Towards Optimistic - Residential Apartment ACS Energy
trajgroup_5-lhs,residential,xl,% Towards Optimistic - Residential House ACS Energy
trajgroup_6-lhs,transport,xl,% Towards Optimistic - Private Transportation Electrification
trajgroup_7-lhs,transport,xl,% Towards Optimistic - Hydrogen Adoption in Trucks
transport_bus_investment_cost_diesel,transport,x,Transport Bus Investment Cost Diesel
transport_bus_investment_cost_electric,transport,x,Transport Bus Investment Cost Electric
transport_bus_veh_km,transport,x,Transport Bus Veh Km
transport_emission_fact_diesel,transport,x,Transport Emission Fact Diesel
transport_emission_fact_fueloil,transport,x,Transport Emission Fact Fueloil
transport_emission_fact_gasoline,transport,x,Transport Emission Fact Gasoline
transport_emission_fact_kerosene_aviation,transport,x,Transport Emission Fact Kerosene Aviation
transport_frac_bus_diesel,transport,xl,Transport Frac Bus Diesel
transport_frac_bus_electric,transport,xl,Transport Frac Bus Electric
transport_frac_private_diesel,transport,xl,Transport Frac Private Diesel
transport_frac_taxi_electric,transport,xl,Transport Frac Taxi Electric
transport_frac_taxi_gasoline,transport,xl,Transport Frac Taxi Gasoline
transport_fuel_price_diesel,transport,x,Transport Fuel Price Diesel
transport_fuel_price_electric,transport,x,Transport Fuel Price Electric
transport_fuel_price_gasoline,transport,x,Transport Fuel Price Gasoline
transport_fuel_price_hydrogen,transport,x,Transport Fuel Price Hydrogen
transport_intensity_aviation_kerosene,transport,x,Transport Intensity Aviation Kerosene
transport_intensity_bus_diesel,transport,x,Transport Intensity Bus Diesel
transport_intensity_bus_electric,transport,x,Transport Intensity Bus Electric
transport_intensity_maritime,transport,x,Transport Intensity Maritime
transport_intensity_pkm_train,transport,x,Transport Intensity Pkm Train
transport_intensity_private_diesel,transport,x,Transport Intensity Private Diesel
transport_intensity_private_electric,transport,x,Transport Intensity Private Electric
transport_intensity_private_gasoline,transport,x,Transport Intensity Private Gasoline
transport_intensity_private_hyb_electric,transport,x,Transport Intensity Private Hyb Electric
transport_intensity_private_hyb_gasoline,transport,x,Transport Intensity Private Hyb Gasoline
transport_intensity_taxi_electric,transport,x,Transport Intensity Taxi Electric
transport_intensity_taxi_gasoline,transport,x,Transport Intensity Taxi Gasoline
transport_intensity_train_electric,transport,x,Transport Intensity Train Electric
transport_intensity_train_freight_diesel,transport,x,Transport Intensity Train Freight Diesel
transport_intensity_truck_diesel,transport,x,Transport Intensity Truck Diesel
transport_intensity_truck_hydrogen,transport,x,Transport Intensity Truck Hydrogen
transport_load_average_freight_train,transport,x,Transport Load Average Freight Train
transport_load_average_truck,transport,x,Transport Load Average Truck
transport_maritime_frac_diesel,transport,x,Transport Maritime Frac Diesel
transport_maritime_frac_fueloil,transport,x,Transport Maritime Frac Fueloil
transport_modal_split_private_to_bus,transport,xl,Transport Modal Split Private To Bus
transport_modal_split_private_to_cycling,transport,xl,Transport Modal Split Private To Cycling
transport_modal_split_private_to_taxi,transport,xl,Transport Modal Split Private To Taxi
transport_modal_split_private_to_telework,transport,xl,Transport Modal Split Private To Telework
transport_modal_split_private_to_train,transport,xl,Transport Modal Split Private To Train
transport_modal_split_truck,transport,xl,Transport Modal Split Truck
transport_modal_split_truck_to_train,transport,xl,Transport Modal Split Truck To Train
transport_occupancy_rate_bus,transport,x,Transport Occupancy Rate Bus
transport_occupancy_rate_private,transport,x,Transport Occupancy Rate Private
transport_occupancy_rate_taxi,transport,x,Transport Occupancy Rate Taxi
transport_occupancy_rate_train,transport,x,Transport Occupancy Rate Train
transport_pkm_aviation,transport,x,Transport Pkm Aviation
transport_private_investment_cost_diesel,transport,x,Transport Private Investment Cost Diesel
transport_private_investment_cost_electric,transport,x,Transport Private Investment Cost Electric
transport_private_investment_cost_gasoline,transport,x,Transport Private Investment Cost Gasoline
transport_private_investment_cost_hyb,transport,x,Transport Private Investment Cost Hyb
transport_saturation_aviation,transport,x,Transport Saturation Aviation
transport_share_diesel_private,transport,x,Transport Share Diesel Private
transport_share_diesel_truck,transport,x,Transport Share Diesel Truck
transport_tkm_freight_train,transport,x,Transport Tkm Freight Train
transport_tkm_maritime,transport,x,Transport Tkm Maritime
transport_train13_pkm,transport,x,Transport Train13 Pkm
transport_train5_pkm,transport,x,Transport Train5 Pkm
transport_train8_pkm,transport,x,Transport Train8 Pkm
transport_trip_distance_private,transport,x,Transport Trip Distance Private
transport_truck_investment_cost_diesel,transport,x,Transport Truck Investment Cost Diesel
transport_truck_investment_cost_hydrogen,transport,x,Transport Truck Investment Cost Hydrogen
